uuid,schooltype3,age3,gender2,major2
18568414-591a-46c8-bff1-feccc925c8d6,graduate school,20-24,male,STEM
e7f62746-78bc-4e50-a586-2544cad22905,4-year university,20-24,female,STEM
91217fd4-2696-45c7-8314-8cc9002b98e6,2-year college,25-34,male,STEM
bf627aa8-10f0-4eff-9c7a-c21c21926108,4-year university,25-34,male,STEM
14820fc0-8f8d-4e88-8a93-bc19a877b055,graduate school,20-24,Non-Binary,STEM
0beb0f68-c6f0-4db3-9c99-5858900ed5c4,2-year college,20-24,male,STEM
22e90d37-df75-4166-8ef5-14ca57de55eb,graduate school,20-24,male,non-STEMB
da59f929-32b1-40b6-919d-55e9886dc215,graduate school,20-24,female,non-STEMB
a3d653e2-d0bc-41d2-9e6a-7813666ed6eb,4-year university,20-24,male,non-STEMB
f113f1d8-271b-4689-988a-8f9502241f89,4-year university,18-19,male,non-STEMB
0eca54b2-47fa-4ad3-be54-0df6536f0817,2-year college,18-19,male,non-STEMB
9166a2f5-6b55-4832-a317-29080e5a0b36,4-year university,35+,female,STEM
7bf04ea7-aaa7-4a9f-84ab-45bca39f3a28,2-year college,25-34,female,STEM
0ff88fda-53b8-4ff4-a026-bc8f0f38e35e,2-year college,20-24,male,STEM
78cada4e-7e79-4da8-b239-b01bbe85ff2c,2-year college,20-24,female,STEM
a1b98278-6c9b-4410-93cd-03c6164d4780,graduate school,18-19,male,STEM
cf1a924d-1832-4518-ab0e-e8dd76da5ada,4-year university,20-24,male,non-STEMB
aaac9989-e039-4a3f-929b-87c98f206203,2-year college,20-24,male,STEM
9e7b3770-60b7-4a7d-9548-296da667371b,4-year university,20-24,male,STEM
06f4bdb4-d19d-4c8f-9b1a-9da552cc2fff,4-year university,25-34,female,STEM
16c47720-b58f-4437-bae4-a3b4c1b4ffe5,4-year university,25-34,female,STEM
f4338b58-c5e3-4660-ada1-3ac658ad2adf,graduate school,25-34,female,STEM
035c67f6-41ce-4655-b841-aae7da7516b8,graduate school,18-19,female,non-STEMB
31a5364c-db7f-405f-9207-8a0a64570e5e,4-year university,20-24,female,non-STEMB
60d64ed8-8107-463e-b14f-d37b08bf8aa3,4-year university,20-24,Non-Binary,non-STEMB
41969dd2-2085-41d9-aa1f-7ea6e1d288b6,4-year university,20-24,male,STEM
2378729d-08fa-4110-a726-52b7f8736441,4-year university,35+,female,non-STEMB
b2a6d219-a471-48d7-b732-81085e25896b,2-year college,25-34,female,STEM
2cb67784-e89b-4b1b-a7a2-bc85c00894ae,2-year college,20-24,male,STEM
d7dcb257-b0ef-4a69-8d7f-b178d89f04c1,4-year university,18-19,female,STEM
fc23e416-8050-49c3-b6fc-446c34e95e6c,4-year university,25-34,male,STEM
8ef63709-9963-48d3-a228-a3396f477473,graduate school,18-19,female,STEM
0efceb49-02ca-4726-b8ce-1164629eb64b,2-year college,18-19,male,STEM
9a1347a0-7de6-4b1f-9bbc-b76ae8ab1fc1,4-year university,18-19,male,non-STEMB
a2d32fa3-bfdd-4bde-9c36-17f46bd882b3,4-year university,25-34,female,non-STEMB
466aa6ac-8275-47ec-962c-0ecf439c144b,4-year university,20-24,Non-Binary,STEM
c81bd7a3-f561-48ee-bbaa-bd1d2e7b105b,4-year university,18-19,female,STEM
c528cb7b-19f6-4634-aeb1-52ff97f779c5,4-year university,25-34,Prefer not to say,STEM
b180b86d-5f70-482b-9af7-07ebe2bc51cc,4-year university,20-24,female,non-STEMB
61c152bb-921e-441f-9c10-4632d5d9fcc2,2-year college,18-19,male,STEM
c3635998-c822-4f21-b9a7-e2be97f57488,graduate school,25-34,female,STEM
eb7dfc42-fa20-493a-b916-8fb845a6a2b0,4-year university,20-24,male,non-STEMB
a789c813-dc46-4cc9-83ae-da831638489d,4-year university,20-24,male,STEM
f8e989c4-0fea-4d2c-ac75-c4f9a381f8f0,2-year college,18-19,female,STEM
3b6dbe88-0072-473b-8343-289367425d40,graduate school,25-34,male,non-STEMB
36b7bbef-0853-4708-ac5f-1b35e8f873d2,4-year university,18-19,female,STEM
442b1c91-d84a-4c05-bbcf-82adb47e2ab5,4-year university,18-19,female,non-STEMB
4f99b9d7-8324-4c25-8b80-94d065d22a1e,graduate school,20-24,female,STEM
892486ae-f534-4f61-a8cb-89688117f23e,graduate school,25-34,male,non-STEMB
f62bcc69-3ddd-4a14-a158-18e04816f7f9,4-year university,25-34,female,non-STEMB
b8a9e600-d276-43f8-aa6e-1542fdaa014f,2-year college,25-34,female,STEM
ff47624c-4dce-4153-b30a-46f7f5ce4a57,2-year college,18-19,male,STEM
2121893f-c2e8-43e9-91c5-4474cfb78556,4-year university,20-24,male,STEM
e52f4272-b3d3-412e-8221-cf11b87b3ce3,4-year university,35+,female,non-STEMB
be536505-b894-4bff-b836-c7643a15028d,4-year university,20-24,male,non-STEMB
445a4de3-2e65-4b3b-a232-16140bfb6347,graduate school,18-19,male,STEM
387b771b-d7d5-4b4b-8027-605b380a3d70,4-year university,18-19,female,non-STEMB
47e24e97-51ba-4cfd-a633-c31cef06ad13,4-year university,20-24,male,non-STEMB
2fc9e18c-bf5f-4e22-9350-779072c93822,2-year college,20-24,female,non-STEMB
09ea636f-3855-43d0-881f-4104c81bf9f1,4-year university,20-24,male,non-STEMB
a2d4cd52-fc0f-458c-b680-44efca192fc6,2-year college,25-34,female,STEM
9c986f86-9fc7-48c8-abcb-437a77e9e73d,2-year college,18-19,female,non-STEMB
4c79d319-e719-4f40-919e-f3875b63d8f4,graduate school,20-24,female,non-STEMB
2d473a72-33c4-430b-a04b-ddb85495ff45,4-year university,20-24,male,STEM
adc45c33-a5dd-4667-b081-e4824618a9c4,4-year university,25-34,female,non-STEMB
e324ef0d-8e92-4029-90a5-76466959d7c2,4-year university,35+,female,non-STEMB
4563eea3-e82d-4cb3-9aab-94a8e418fefa,4-year university,20-24,male,STEM
8580976b-3e5f-4f05-ba0e-21ffa7ad0dde,graduate school,25-34,female,STEM
f96b599e-6d1a-4d81-9f57-6d9b99b8f701,2-year college,25-34,female,non-STEMB
b6850278-48ae-4da4-a9e8-c5681b678137,4-year university,20-24,female,non-STEMB
5f2e3fe9-9c3b-4b96-aaa8-39abfd75eb9a,4-year university,18-19,male,non-STEMB
66864476-cfd2-476b-8daa-67742e684774,graduate school,18-19,female,non-STEMB
e27cc204-7314-4b48-9914-38ba9f799aaf,4-year university,18-19,male,non-STEMB
047f0da6-6402-4f59-b43c-4c6e7b9981b3,4-year university,35+,female,STEM
84b1bced-8793-44d7-83e7-d89c2cd35137,2-year college,20-24,male,non-STEMB
f2e18c20-a15f-4d52-9f72-bafda5e13aae,2-year college,25-34,female,STEM
42bd5db4-a00d-4b82-afbf-5ed3575a8539,4-year university,20-24,female,non-STEMB
90d971b0-cff3-4f20-8efa-3bd952769956,4-year university,15-17,male,STEM
923deaae-ab68-4bbf-a2ac-bfa25b83eeea,4-year university,35+,female,STEM
aa7d5491-6ba2-4e80-9f73-10b5d3482a8c,2-year college,18-19,Non-Binary,non-STEMB
9b7ac190-d3bd-4591-a794-55583dec1e4c,4-year university,25-34,male,STEM
c9ddbe46-80a0-4c5b-876e-58d1f4b70b20,4-year university,20-24,female,STEM
4a053397-d4ef-429d-8c47-3086c2196281,4-year university,20-24,male,STEM
6eb4ccf6-2ada-4305-93b1-e71b7c5cfe8d,4-year university,20-24,male,STEM
6bf8b9a7-4b37-4b8d-ab80-a8500c964f9d,graduate school,18-19,female,STEM
ee9fc3c9-b823-45d1-b66c-fb4376fe2acb,graduate school,18-19,female,non-STEMB
4d35bfbb-52c3-4b10-8327-67e9bbfdbb75,4-year university,18-19,female,non-STEMB
714d790a-be8c-4b47-a7bd-77e0b44cc433,4-year university,18-19,male,non-STEMB
09cadd43-5aba-436e-b615-0a9fac0a8bb9,2-year college,18-19,male,STEM
f8832733-6f94-47e7-87a8-6df4deb2d329,graduate school,25-34,female,STEM
72a0882e-074e-48f1-bc2e-bb3a68abdbc8,4-year university,20-24,female,non-STEMB
f5084511-579e-4f27-a23d-674ad40d9989,4-year university,25-34,male,non-STEMB
fda29e5e-e76a-4528-b5af-75bb33253979,4-year university,25-34,female,STEM
30af0c5b-57cf-442f-8ea4-c830aa328fdd,4-year university,20-24,male,STEM
ca076ada-5573-4eb8-a6c7-07def6ed4a1c,graduate school,18-19,male,STEM
9ebf2964-6d1e-4b58-a3d5-2c983365659b,4-year university,25-34,male,non-STEMB
735bbbd5-1db0-43de-82ef-7f741b55f7e9,4-year university,18-19,female,non-STEMB
63a1bd51-0534-4050-b685-cada54ecac56,4-year university,18-19,female,non-STEMB
5b91b722-0643-4dcd-b8e7-b9ebfadd03f4,2-year college,20-24,female,non-STEMB
20186bf6-a143-441d-904e-70e8f2131afb,2-year college,20-24,male,STEM
f89a3066-26e8-492f-aaed-f63ca10c2f4d,2-year college,20-24,female,non-STEMB
6d3c9f03-1534-4056-b1d6-7ad120e4296b,graduate school,20-24,male,non-STEMB
39c230ff-496d-431a-9e38-2ca69190700d,4-year university,20-24,male,non-STEMB
55f9c697-bf6c-4807-9596-a3a361420fc1,4-year university,20-24,male,non-STEMB
cbf9c847-5483-43b3-be8c-3aef9ef497b9,4-year university,18-19,male,STEM
730e7a4a-f4a7-4511-9f86-38df69e0f5dd,4-year university,20-24,male,STEM
d9f25eaa-248f-4cbf-bae5-6274244216eb,graduate school,20-24,male,STEM
67aed4f7-c2e3-46c9-9afa-db8316e07201,4-year university,20-24,female,STEM
f4ff764e-48ab-475e-a971-8381e46fe202,graduate school,20-24,male,non-STEMB
a4d25b4c-3cc5-46e3-8749-fa2c671e1216,graduate school,20-24,female,non-STEMB
c00358f2-0e18-4dd9-b3df-87057a19c059,4-year university,20-24,male,STEM
878f6544-fbd9-4eb9-983c-d34b96812823,2-year college,20-24,female,non-STEMB
9d05505b-59fd-495c-9b6a-9817ebd137c5,graduate school,20-24,female,STEM
3c3ced52-fbc4-4d34-9c51-22572e6f7936,4-year university,18-19,female,non-STEMB
3555e45e-941c-4c2f-ad47-f03df49a448d,graduate school,25-34,female,non-STEMB
5c01524b-03ae-44ce-ad78-53e7711870cc,4-year university,20-24,male,STEM
56187866-c2a9-4378-a410-f608710caa1f,2-year college,18-19,female,non-STEMB
536f64cc-11ff-4487-9ea1-465076b6e3a4,2-year college,35+,female,STEM
cdcbf327-1fbe-417b-bfbe-8e6d06f19c5e,4-year university,18-19,male,non-STEMB
203df136-a2f6-427a-aa63-da7457289a3d,4-year university,20-24,male,non-STEMB
f73fad9a-c952-4a53-b6e1-5a3d02d2c70a,graduate school,20-24,male,non-STEMB
48ef47e7-d5ab-4979-8552-29ce6d9fe131,4-year university,20-24,male,STEM
bf9788ef-3aaa-4986-919b-bf202608b178,4-year university,20-24,female,non-STEMB
66ae58a0-6fa9-4b62-9a04-53df705d0468,4-year university,35+,male,STEM
5d2abb3f-7305-4209-9228-2e4b7cefb865,4-year university,25-34,female,STEM
a916b080-e43c-4122-937b-65e7b88711e7,4-year university,20-24,female,non-STEMB
11ca1b15-148c-4819-a179-8195006575dc,4-year university,20-24,male,STEM
ec5e6e42-dccc-4971-9c8f-2fb2b4b2e05b,4-year university,18-19,female,non-STEMB
57361f88-c29b-45d2-abdd-f6c369fc7767,graduate school,25-34,female,non-STEMB
123884ca-6930-4eec-bd48-4b22a58376b8,4-year university,20-24,female,non-STEMB
30c0ac7f-2540-4448-b03b-3a73dea5dd92,4-year university,18-19,female,STEM
364702e3-f673-4381-900c-b96e51d69f95,graduate school,20-24,male,non-STEMB
581239d2-b229-465c-a433-e0ee248cc98e,4-year university,35+,male,STEM
5e4c3a88-84f4-4738-8bd8-141a7de6514c,4-year university,25-34,female,STEM
ed9e61e7-159c-4696-8c41-776af23ecff4,4-year university,20-24,female,non-STEMB
b6c8d623-5a41-47a6-b777-dd2d28c51f93,4-year university,20-24,female,non-STEMB
8ec32ae1-1424-4025-b308-0a311a79cbdc,graduate school,25-34,female,STEM
79ab2495-5630-4ea1-84ca-36b15a73ebb2,4-year university,20-24,female,STEM
d7da555d-cd53-4dfc-94a9-60d480cb6dd6,4-year university,25-34,female,non-STEMB
990f4729-71a7-4d7b-9a5e-bf7d8482069e,graduate school,20-24,female,non-STEMB
89a68a4b-b5c4-402a-a9ce-a8a4c5962c3b,4-year university,35+,female,non-STEMB
fbe31fca-4d02-41d8-925b-5e6ef51b0ee8,4-year university,18-19,female,non-STEMB
5c7f29b2-f986-492b-8e18-14261ba85eb5,4-year university,18-19,female,STEM
ee92369b-86ac-4bfc-969d-37f4a0eb2dd5,4-year university,25-34,female,STEM
9afb27e4-34b6-4f82-aa97-de2b9a4f9e05,4-year university,35+,female,STEM
ab3cc27c-b7ba-4ae7-b971-b05d26b56cb6,4-year university,20-24,female,non-STEMB
c6cc578b-0144-4e8a-9238-dff80e7a0ebb,2-year college,20-24,female,non-STEMB
047b0d3d-dc17-4445-bedd-d818a0a7c6d3,4-year university,20-24,male,non-STEMB
6620403b-cfff-4fc8-9541-f356fe6f68bc,4-year university,25-34,male,STEM
6282ad26-acad-46a4-ac2d-363356376be8,4-year university,15-17,female,STEM
4e9268f3-1a2d-430d-afbc-3c015836417e,4-year university,18-19,female,STEM
8eb64980-d77c-4602-9061-1a49d09611c0,4-year university,18-19,female,STEM
6369b702-34ee-4413-9693-715d0b5a45ae,4-year university,20-24,female,non-STEMB
cea7e55b-c748-45be-adb8-5fd9c429e548,graduate school,20-24,Prefer not to say,STEM
d13ddb47-2417-4e42-844a-98478a501e2c,graduate school,35+,female,STEM
5f24dfa6-dc63-4731-b14d-7c530c029465,graduate school,20-24,male,non-STEMB
f1581664-4a7b-4075-8819-8422afab6a6c,4-year university,20-24,male,STEM
6b04e917-6f37-4e49-a0be-cced39f3198e,4-year university,35+,female,STEM
221886c0-07d6-472d-872b-0b4ffa8b6d39,4-year university,20-24,female,non-STEMB
0c9c18b0-f402-4322-9cd8-dba794461644,4-year university,18-19,male,STEM
3324b318-5085-43b2-918c-602198382d9c,4-year university,25-34,male,non-STEMB
91c9d41d-cd7f-4a66-9860-6aa0e36d0827,2-year college,20-24,male,non-STEMB
c462d9ec-591a-4a4d-b010-383a893f8ba4,4-year university,20-24,female,non-STEMB
af00eb78-6c28-4790-b2ec-147c42b34d54,graduate school,20-24,male,non-STEMB
a2be6c85-a745-4488-b9e7-302612ea1f87,4-year university,20-24,female,non-STEMB
e3cc992f-fbe1-4d50-9d06-d00961325c32,4-year university,20-24,male,non-STEMB
480579e2-ba1d-4dc7-9b19-a046efb38994,4-year university,20-24,female,non-STEMB
1064992d-9cef-4514-8c96-b05c7b53b948,2-year college,18-19,male,STEM
9d2fccdf-e34d-432e-a6a1-1b44b2aea61c,graduate school,18-19,male,non-STEMB
6e4077c1-ab72-4726-8510-084dc40cf4ef,4-year university,18-19,female,non-STEMB
a4b3593f-7746-4303-8e43-5328a2d71ed6,graduate school,18-19,female,non-STEMB
de22f130-4077-424b-9503-0008ebcb2c1b,graduate school,20-24,female,non-STEMB
8455e648-cf69-414d-8914-28580f6c4148,2-year college,25-34,male,STEM
47a79bb7-ff4d-4a44-86c6-81779ba6641e,4-year university,18-19,female,non-STEMB
e8fc0773-ac5f-4782-b679-3755fa5b09bb,4-year university,18-19,female,STEM
bc0809e3-e043-476c-8439-7c0ec7826073,graduate school,35+,male,STEM
9ee5e968-a073-4bf0-8f17-555134a76a85,4-year university,20-24,female,STEM
1c8d1e5f-c440-4031-85d2-d74f36881a51,4-year university,18-19,female,non-STEMB
c1615d66-5267-47c9-b9b4-043774b6d562,4-year university,35+,female,non-STEMB
9570f336-6c48-4a03-b664-c9f4033b5d96,4-year university,18-19,male,STEM
dfa6828c-4bc6-48ff-8bfe-eadb9646c289,4-year university,20-24,female,non-STEMB
df08fbf1-9d54-4591-8766-678f526b9224,graduate school,20-24,male,STEM
30f5e07a-d8db-428f-8bb7-7158f505a5f7,graduate school,18-19,male,STEM
5d2a2dc1-e6a0-453a-88fc-5c7fbb2b1d93,4-year university,20-24,female,STEM
b8960387-533e-4963-85e5-9313eda00e57,2-year college,18-19,female,STEM
9171e486-e44d-4e37-b8d9-16078965381c,4-year university,20-24,male,STEM
d533ea4f-b4c5-4747-ad68-f0c9507ac367,graduate school,20-24,male,STEM
33c48f95-abed-4cf4-adf6-9e5b331f76fa,2-year college,18-19,female,STEM
25322fbd-1e9a-4127-ae46-02ea7a153035,4-year university,20-24,female,non-STEMB
e70ad52d-ace8-43f8-9929-6427b348ea16,graduate school,25-34,female,non-STEMB
ca092bdd-9c3d-4233-9dea-33c04e7c433e,4-year university,20-24,male,non-STEMB
c52b88d9-f67b-4b07-8581-280d42ffd4eb,4-year university,20-24,female,non-STEMB
9814c482-403b-490c-a752-858b02f1f06f,4-year university,18-19,Prefer not to say,non-STEMB
3866e82d-f670-4bff-8969-4963bb1035a9,graduate school,18-19,female,STEM
61f472c8-0015-4fff-83e5-20243575376b,2-year college,25-34,female,STEM
457ea284-b4ac-4601-b2e4-35ee73f6fb8f,graduate school,18-19,male,STEM
5f537ddd-2975-4395-ad0d-84c3144469f9,2-year college,20-24,female,STEM
00c79377-ccd9-4be7-8f7c-95c2314cadbf,4-year university,20-24,female,non-STEMB
1b3c4beb-4beb-4b78-9a3b-263968154838,2-year college,18-19,male,STEM
96dd789e-6267-4c2b-9637-fe84d939d411,4-year university,25-34,female,STEM
a354fffe-ca27-4c13-b724-4fcd7ad1dff9,2-year college,20-24,female,non-STEMB
69fd8fb4-3ce0-4061-92df-6c4bd4957172,4-year university,20-24,male,non-STEMB
e0465fae-71f8-4b70-8c2c-fca412bc9168,4-year university,20-24,female,non-STEMB
02e07789-db1e-430a-826a-7d68198fad49,graduate school,18-19,male,non-STEMB
9b07fd72-2997-4a81-8747-b30ee564069d,4-year university,35+,female,STEM
f3cba5db-a679-404f-97e0-4e83f5b59a23,4-year university,20-24,female,non-STEMB
0c675fa4-9c8e-4453-8b80-f1293cec0f2a,graduate school,25-34,female,non-STEMB
c206a65d-6dc8-4317-83a8-c48fc857a487,4-year university,18-19,female,non-STEMB
2b4864f2-61c6-4862-bc2f-0a18c39e76bc,graduate school,25-34,male,non-STEMB
e4946fbd-16ae-464f-aaf8-40f30679ec6f,graduate school,20-24,female,STEM
837f692d-f171-4851-aee9-7544b49adb2f,graduate school,18-19,male,non-STEMB
b7001bd2-f4b4-4918-b241-fd62e51319ad,4-year university,20-24,female,non-STEMB
19398df8-78d4-49cd-8f61-d2e6a7d66c34,4-year university,18-19,female,non-STEMB
579f7730-db2e-4271-b630-7be53d689b18,graduate school,20-24,male,non-STEMB
fddf1d98-34d2-4844-9a66-7b5e17c9e340,2-year college,35+,male,STEM
afc3192a-be6b-4a09-a249-25c95e62271b,4-year university,20-24,male,STEM
25d904d8-b519-4ccd-807a-8b3ebcc33115,4-year university,20-24,male,STEM
521a8544-8f7e-4a8b-a1e6-e04c8b0a23fd,2-year college,20-24,female,non-STEMB
23592abb-b505-4fab-83ee-612367669232,4-year university,25-34,female,STEM
e8ed2207-3a01-4662-a95e-588e24f14591,graduate school,18-19,male,non-STEMB
a3b0e081-b33e-4e07-9a15-439f8ae52c6a,2-year college,35+,female,non-STEMB
9fe872bd-a09a-499c-ab1c-1a62ddc98105,4-year university,25-34,male,STEM
2815d0bd-cb68-42f8-bb8d-e1a599e5795b,4-year university,20-24,female,STEM
f0683bb9-a337-44b1-b89f-1433212b4cc3,4-year university,25-34,female,non-STEMB
30e3ec34-7576-4924-a7ea-fd37cd7f59df,4-year university,35+,female,STEM
31a9cff0-954e-49f1-99a9-5909f087ffe5,4-year university,20-24,female,non-STEMB
4250442f-541a-4c06-902e-647fe669e1e6,4-year university,18-19,female,STEM
c331b384-d995-4646-856f-a9c9dc5a208f,4-year university,35+,male,non-STEMB
4f4e204a-1b3a-4532-a058-857ea44cdebc,4-year university,18-19,female,STEM
8e34d692-309a-464e-a288-f243c28bd32a,4-year university,35+,male,non-STEMB
fd5531d3-28da-408e-8a28-a450e0bb11d8,2-year college,20-24,Non-Binary,STEM
a0b39faf-a665-412e-acd2-4d9450b371b4,4-year university,20-24,male,STEM
98bacb7b-060d-47c5-8338-08248f9ecf38,graduate school,18-19,male,non-STEMB
